Province,DateL1,Date95
Anhui,1/24/2020,1/31/2020
Beijing,1/24/2020,1/28/2020
Chongqing,1/24/2020,1/30/2020
Fujian,1/24/2020,1/29/2020
Gansu,1/25/2020,1/29/2020
Guangdong,1/23/2020,2/1/2020
Guangxi,1/24/2020,2/3/2020
Guizhou,1/24/2020,2/3/2020
Hainan,1/25/2020,1/29/2020
Hebei,1/24/2020,2/1/2020
Heilongjiang,1/25/2020,1/29/2020
Henan,1/25/2020,1/28/2020
Hong Kong,,
Hubei,1/24/2020,1/25/2020
Hunan,1/23/2020,1/31/2020
Inner Mongolia,1/25/2020,1/26/2020
Jiangsu,1/24/2020,2/1/2020
Jiangxi,1/24/2020,2/1/2020
Jilin,1/25/2020,2/3/2020
Liaoning,1/25/2020,1/28/2020
Macau,,
Ningxia,1/25/2020,2/3/2020
Qinghai,1/25/2020,1/27/2020
Shaanxi,1/25/2020,1/29/2020
Shandong,1/24/2020,2/4/2020
Shanghai,1/24/2020,1/26/2020
Shanxi,1/25/2020,1/31/2020
Sichuan,1/24/2020,2/4/2020
Tianjin,1/24/2020,1/31/2020
Tibet,1/29/2020,1/29/2020
Xinjiang,1/25/2020,1/31/2020
Yunnan,1/24/2020,2/2/2020
Zhejiang,1/23/2020,2/1/2020
